title,data,link
20 anos do Bacharelado em Sistemas de Informação (BSI 20),25/05/2019,https://www.facebook.com/events/679436132487458/
IEEE/ACM 1st International Workshop on Software Engineering for Healthcare (SEH 2019),27/05/2019,http://seh2019.icmc.usp.br/
PET Social: Doação de Sangue,28/05/2019,https://www.facebook.com/events/290456155228772/?notif_t=plan_user_invited&notif_id=1557314901505964
9ª Semana da Estatística (SEst 2019),De 29/05/2019 à 01/06/2019,https://sest.vpeventos.com/#/
17ª Feira USP e as Profissões Interior 2019,De 30/05/2019 à 31/05/2019,http://prceu.usp.br/uspprofissoes/
Caipyra 2019,De 07/06/2019 à 09/06/2019,https://caipyra.python.org.br/
DojoML - Competição Machine Learning,12/06/2019,https://the-ai-academy.wixsite.com/dojoml
Olimpíada Brasileira de Robótica - etapa regional da Modalidade Prática,De 15/06/2019 à 16/06/2019,http://www.obr.org.br/modalidade-pratica/etapa-regional/
4ª Escola de Matemática Aplicada,De 01/07/2019 à 06/07/2019,http://www.cemeai.icmc.usp.br/eventos/event/82-iv-escola-de-matematica-aplicada
10ª Oficina de Sistemas Dinâmicos,De 02/07/2019 à 04/07/2019,http://www.sisdin.com.br/
5º Workshop de Soluções Matemáticas para Problemas Industriais,De 08/07/2019 à 12/07/2019,http://www.cemeai.icmc.usp.br/component/jem/event/77-v-workshop-de-solucoes-matematicas-para-problemas-industriais
23ª Escola Brasileira de Probabilidade,De 22/07/2019 à 27/07/2019,http://ebp23.icmc.usp.br/index.html
